name,ticker,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
HCA HEALTHCARE INC,HCA,860730,40412C101,NYSE,False,Domestic Common Stock,Healthcare,Medical Care Facilities,8062,Services,Services-General Medical & Surgical Hospitals Nec,,Healthcare,USD,Tennessee; U.S.A,6dd16825f57d1c4b77373996a33e9879
MEDCO HEALTH SOLUTIONS INC,MHS,1170650,58405U102,NYSE,True,Domestic Common Stock,Consumer Defensive,Pharmaceutical Retailers,5912,Retail Trade,Retail-Drug Stores And Proprietary Stores,,Retail,USD,New Jersey; U.S.A,6cc0a52eebc44c83c91de8a0ae7e38b5
XL FLEET CORP,XL,1772720,9837FR100 72582K100,NYSE,False,Domestic Common Stock Primary Class,Consumer Cyclical,Auto Parts,3714,Manufacturing,Motor Vehicle Parts & Accessories,,Automobiles and Trucks,USD,Massachusetts; U.S.A,e9917d1653aaa651be33647d7c31a991
UNIVERSAL HEALTH SERVICES INC,UHS,352915,913903100,NYSE,False,Domestic Common Stock,Healthcare,Medical Care Facilities,8062,Services,Services-General Medical & Surgical Hospitals Nec,,Healthcare,USD,Pennsylvania; U.S.A,cc78c774f87446ac794d3dbab28d4edc
TERADYNE INC,TER,97210,880770102,NASDAQ,False,Domestic Common Stock,Technology,Semiconductor Equipment & Materials,3825,Manufacturing,Instruments For Meas & Testing Of Electricity & Elec Signals,,Measuring and Control Equipment,USD,Massachusetts; U.S.A,4d2156a169a977d65e25aec227e38d32
ECOPETROL SA,EC,1444406,279158109,NYSE,False,ADR Common Stock,Energy,Oil & Gas Integrated,1311,Mining,Crude Petroleum & Natural Gas,,Petroleum and Natural Gas,COP,Colombia,fdb98432980d5a52350d8ebc68c56423
AGILENT TECHNOLOGIES INC,A,1090872,00846U101,NYSE,False,Domestic Common Stock,Healthcare,Diagnostics & Research,3826,Manufacturing,Laboratory Analytical Instruments,,Measuring and Control Equipment,USD,California; U.S.A,81e134d27f5a89e6e88c39798d1497b0
NRG ENERGY INC,NRG,1013871,629377508,NYSE,False,Domestic Common Stock,Utilities,Utilities - Independent Power Producers,4911,Transportation Communications Electric Gas And Sanitary Service,Electric Services,,Utilities,USD,New Jersey; U.S.A,51db6dc3b90f5eba0535bc46677d21d1
FAMILY DOLLAR STORES INC,FDO,34408,307000109,NYSE,True,Domestic Common Stock,Consumer Defensive,Discount Stores,5331,Retail Trade,Retail-Variety Stores,,Retail,USD,North Carolina; U.S.A,629161e8955b0ff0f5d794592db7e1f4
IRON MOUNTAIN INC,IRM,1020569,46284V101 462846106 46284P104,NYSE,False,Domestic Common Stock,Real Estate,REIT - Specialty,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,,Trading,USD,Massachusetts; U.S.A,dbfffdca939fc9178a3a03d7946e6fdd
PALM INC,PALM,1100389,696643105 696642206 69713P107 696642107,NASDAQ,True,Domestic Common Stock,Technology,Computer Hardware,3575,Manufacturing,Computer Terminals,,Computers,USD,California; U.S.A,f8515afaea142fe579426af8b4114c69
SEAGATE TECHNOLOGY HOLDINGS PLC,STX,1137789,G7945M107 G7997R103 G7945J104,NASDAQ,False,Domestic Common Stock,Technology,Computer Hardware,3572,Manufacturing,Computer Storage Devices,,Computers,USD,Ireland,bc6f455723b81722547f6ff9fbaa92f6
BROWN FORMAN CORP,BF.B,14693,115637209,NYSE,False,Domestic Common Stock Primary Class,Consumer Defensive,Beverages - Wineries & Distilleries,2080,Manufacturing,Beverages,,Beer & Liquor,USD,Kentucky; U.S.A,086d18f86fe3b0748b71e538d62a30f4
NETFLIX INC,NFLX,1065280,64110L106,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Entertainment,7841,Services,Services-Video Tape Rental,,Entertainment,USD,California; U.S.A,5f4668d981ee0a2d8d6e26c685087426
ADC THERAPEUTICS SA,ADCT,1771910,H0036K147,NYSE,False,ADR Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,Switzerland,9343a27786c67c7dc7785ed792dfd846
ELECTRONIC DATA SYSTEMS CORP,EDS,1007456,285661104,NASDAQ,True,Domestic Common Stock,Technology,Internet Content & Information,7370,Services,Services-Computer Programming Data Processing Etc.,,Business Services,USD,Texas; U.S.A,53b88cb73395537209d05ffff351c79c
UNION PACIFIC RESOURCES GROUP INC,UPR,949061,907834105,NYSE,True,Domestic Common Stock,Energy,Oil & Gas E&P,1311,Mining,Crude Petroleum & Natural Gas,,Petroleum and Natural Gas,USD,Texas; U.S.A,69cdde9dc1f930124b5b300d77ae7eb8
GGP INC,GGP,1496048,370023103 36174X101 370021107,NYSE,True,Domestic Common Stock Primary Class,Real Estate,REIT - Retail,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,,Trading,USD,Illinois; U.S.A,dc7159ad7697494c8eb8bb21fff334f2
GARTNER INC,IT,749251,366651107,NYSE,False,Domestic Common Stock Primary Class,Technology,Information Technology Services,8741,Services,Services-Management Services,,Business Services,USD,Connecticut; U.S.A,b80930461da64c816e93b558871ee917
ENTERASYS NETWORKS INC,ETS,846909,126920107 293637104 293637401,NYSE,True,Domestic Common Stock,Technology,Communication Equipment,3576,Manufacturing,Computer Communications Equipment,,Computers,USD,Massachusetts; U.S.A,a4a7692c0b5860483db1216f867610ba
TOTAL SYSTEM SERVICES INC,TSS,721683,891906109,NYSE,True,Domestic Common Stock,Financial Services,Credit Services,7389,Services,Services-Business Services Nec,,Business Services,USD,Georgia; U.S.A,5184387f7a0eec5f26ed58566469a2fc
BALL CORP,BALL,9389,058498106,NYSE,False,Domestic Common Stock,Consumer Cyclical,Packaging & Containers,3411,Manufacturing,Metal Cans,,Shipping Containers,USD,Colorado; U.S.A,f7942684980040a7e2511c07670f573f
GENZYME CORP,GENZ,732485,372917104,NASDAQ,True,Domestic Common Stock Primary Class,Healthcare,Biotechnology,2836,Manufacturing,Biological Products (No Disgnostic Substances),,Pharmaceutical Products,USD,Massachusetts; U.S.A,1b81d31e2dc77cc53b7ac493ec99d47c
HEWLETT PACKARD ENTERPRISE CO,HPE,1645590,42824C109,NYSE,False,Domestic Common Stock Primary Class,Technology,Communication Equipment,5045,Wholesale Trade,Wholesale-Computers & Peripheral Equipment & Software,,Wholesale,USD,California; U.S.A,2ba5a6e06a8b110695eb42f3565f8f37
PROGRESSIVE CORP,PGR,80661,743315103,NYSE,False,Domestic Common Stock,Financial Services,Insurance - Property & Casualty,6331,Finance Insurance And Real Estate,Fire Marine & Casualty Insurance,,Insurance,USD,Ohio; U.S.A,2d753eafd58f895ed695c72e3e734bc8
AMERICAN EXPRESS CO,AXP,4962,025816109,NYSE,False,Domestic Common Stock,Financial Services,Credit Services,6199,Finance Insurance And Real Estate,Finance Services,,Banking,USD,New York; U.S.A,1a10769cc9c92c517262fb73821759fd
FORT JAMES CORP,FJ,53117,347471104 470349101 470349887,NYSE,True,Domestic Common Stock,Basic Materials,Paper & Paper Products,2621,Manufacturing,Paper Mills,,Business Supplies,USD,Georgia; U.S.A,0210b03ad56377f6df716c4bc245297e
CONSTELLATION BRANDS INC,STZ,16918,21036P108 137219200 137219101,NYSE,False,Domestic Common Stock Primary Class,Consumer Defensive,Beverages - Wineries & Distilleries,2080,Manufacturing,Beverages,,Beer & Liquor,USD,New York; U.S.A,5898fcfe8454929eb38afc0d303b1bfd
GLOBAL PAYMENTS INC,GPN,1123360,37940X102,NYSE,False,Domestic Common Stock,Industrials,Specialty Business Services,7389,Services,Services-Business Services Nec,,Business Services,USD,Georgia; U.S.A,ff9ee2baf0ca847a95cde61403bba3d8
CLOROX CO,CLX,21076,189054109,NYSE,False,Domestic Common Stock,Consumer Defensive,Household & Personal Products,2842,Manufacturing,Specialty Cleaning Polishing And Sanitation Preparations,,Consumer Goods,USD,California; U.S.A,de7976bffad421c8ed469e38b4c0e824
DIAMONDBACK ENERGY INC,FANG,1539838,25278X109,NASDAQ,False,Domestic Common Stock,Energy,Oil & Gas E&P,1311,Mining,Crude Petroleum & Natural Gas,,Petroleum and Natural Gas,USD,Texas; U.S.A,4b143fa94f33eb62446d316b86046e4a
COTERRA ENERGY INC,CTRA,858470,127097103,NYSE,False,Domestic Common Stock,Energy,Oil & Gas E&P,1311,Mining,Crude Petroleum & Natural Gas,,Petroleum and Natural Gas,USD,Texas; U.S.A,c7db3a1b300cd79a4c4e23128cc31c8d
PPL CORP,PPL,922224,69351T106 693499105,NYSE,False,Domestic Common Stock Primary Class,Utilities,Utilities - Regulated Electric,4911,Transportation Communications Electric Gas And Sanitary Service,Electric Services,,Utilities,USD,Pennsylvania; U.S.A,ba1e7646e0610e8715cd08e94cf36503
TJX COMPANIES INC,TJX,109198,872540109 872540208 872539101 872540307,NYSE,False,Domestic Common Stock,Consumer Cyclical,Apparel Retail,5651,Retail Trade,Retail-Family Clothing Stores,,Retail,USD,Massachusetts; U.S.A,da71824b538c1fc5bfa6b9cf054dc624
PIEDMONT LITHIUM INC,PLL,1728205,72016P105 720162106,NASDAQ,False,Domestic Common Stock,Basic Materials,Other Industrial Metals & Mining,1400,Mining,Mining & Quarrying Of Nonmetallic Minerals (No Fuels),,Non-Metallic and Industrial Metal Mining,USD,Australia,0e395c1a310c036f1d4ccc4f02f071c7
KEYCORP,KEY,91576,493267108 493263107,NYSE,False,Domestic Common Stock Primary Class,Financial Services,Banks - Regional,6021,Finance Insurance And Real Estate,National Commercial Banks,,Banking,USD,Ohio; U.S.A,2ca1e4d0104b28cf139beb922748c8ed
FRANKLIN RESOURCES INC,BEN,38777,354613101,NYSE,False,Domestic Common Stock,Financial Services,Asset Management,6282,Finance Insurance And Real Estate,Investment Advice,,Trading,USD,California; U.S.A,62a7e6e0ccb9c3df186400979324b339
TEXAS INSTRUMENTS INC,TXN,97476,882508104,NASDAQ,False,Domestic Common Stock,Technology,Semiconductors,3674,Manufacturing,Semiconductors & Related Devices,,Electronic Equipment,USD,Texas; U.S.A,1ff9aab31242327aacce83631643809d
ILLINOIS TOOL WORKS INC,ITW,49826,452308109,NYSE,False,Domestic Common Stock,Industrials,Specialty Industrial Machinery,3560,Manufacturing,General Industrial Machinery & Equipment,,Machinery,USD,Illinois; U.S.A,da834281d4a4ffab32b04ecc4437c004
KLA CORP,KLAC,319201,482480100,NASDAQ,False,Domestic Common Stock,Technology,Semiconductor Equipment & Materials,3827,Manufacturing,Optical Instruments & Lenses,,Measuring and Control Equipment,USD,California; U.S.A,dff036756ef01fce3e927fedb6287cac
YOUNG & RUBICAM INC,YNR,1030048,987425105,NYSE,True,Domestic Common Stock,Consumer Cyclical,Advertising Agencies,7311,Services,Services-Advertising Agencies,,Business Services,USD,New York; U.S.A,38b7709bf1382dd8f5ae5e693f75f500
GENERAL DYNAMICS CORP,GD,40533,369550108,NYSE,False,Domestic Common Stock,Industrials,Aerospace & Defense,3730,Manufacturing,Ship & Boat Building & Repairing,,Shipbuilding Railroad Equipment,USD,Virginia; U.S.A,e1915f539b47d7466f336e58e5f409d2
WYETH,WYE,5187,983024100 026609107,NYSE,True,Domestic Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,New Jersey; U.S.A,30d0202ab6d2252fb82eeecf050aa7b2
CONCHO RESOURCES INC,CXO,1358071,20605P101,NYSE,True,Domestic Common Stock,Energy,Oil & Gas E&P,1311,Mining,Crude Petroleum & Natural Gas,,Petroleum and Natural Gas,USD,Texas; U.S.A,a25bc01577716d15007210699277c408
BARD C R INC,BCR,9892,067383109,NYSE,True,Domestic Common Stock,Healthcare,Medical Devices,3841,Manufacturing,Surgical & Medical Instruments & Apparatus,,Medical Equipment,USD,New Jersey; U.S.A,d1b77b161bb3694d833a0a713621892c
FORD MOTOR CO,F,37996,345370860 345370100,NYSE,False,Domestic Common Stock Primary Class,Consumer Cyclical,Auto Manufacturers,3711,Manufacturing,Motor Vehicles & Passenger Car Bodies,,Automobiles and Trucks,USD,Michigan; U.S.A,e31ea80697ae4141d594306601d5d103
VITESSE SEMICONDUCTOR CORP,VTSS,880446,928497304 928497106,NASDAQ,True,Domestic Common Stock,Technology,Semiconductors,3674,Manufacturing,Semiconductors & Related Devices,,Electronic Equipment,USD,California; U.S.A,4875312af97d5072c1e22581f894eb46
CAMERON INTERNATIONAL CORP,CAM,941548,13342B105 216640102,NYSE,True,Domestic Common Stock,Energy,Oil & Gas Equipment & Services,3533,Manufacturing,Oil & Gas Field Machinery & Equipment,,Machinery,USD,Texas; U.S.A,972821fd2a3faad96ce141647aa2d55f
EXELON CORP,EXC,1109357,30161N101 693304107,NASDAQ,False,Domestic Common Stock Primary Class,Utilities,Utilities - Diversified,4931,Transportation Communications Electric Gas And Sanitary Service,Electric & Other Services Combined,,Utilities,USD,Illinois; U.S.A,45b4efb2a6ec835114c3d23363124f3b
FLORIDA PROGRESS CORP,FPC,357261,341109106,NYSE,True,Domestic Common Stock,Utilities,Utilities - Regulated Electric,4911,Transportation Communications Electric Gas And Sanitary Service,Electric Services,,Utilities,USD,Florida; U.S.A,b9820b531efa82aa330fe9ccdc6cb331
LABORATORY CORP OF AMERICA HOLDINGS,LH,920148,50540R409 50540R102,NYSE,False,Domestic Common Stock,Healthcare,Diagnostics & Research,8071,Services,Services-Medical Laboratories,,Healthcare,USD,North Carolina; U.S.A,1bd701c85f92d5d4541c26b4979a2d2e
FLEETBOSTON FINANCIAL CORP,FBF,50341,339030108 338915101,NYSE,True,Domestic Common Stock,Financial Services,Banks - Regional,6021,Finance Insurance And Real Estate,National Commercial Banks,,Banking,USD,Massachusetts; U.S.A,c89d93526cee853f50014c52060ecc08
CROWN CASTLE INC,CCI,1051470,22822V101 228227104,NYSE,False,Domestic Common Stock Primary Class,Real Estate,REIT - Specialty,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,,Trading,USD,Texas; U.S.A,f824fa95917e5de9de05cca7056116bb
LINCOLN NATIONAL CORP,LNC,59558,534187109,NYSE,False,Domestic Common Stock Primary Class,Financial Services,Insurance - Life,6311,Finance Insurance And Real Estate,Life Insurance,,Insurance,USD,Pennsylvania; U.S.A,5e243a96e0d5e1f61f6b9f6224cdc4fa
BIOMET INC,BMET,351346,090613100,NASDAQ,True,Domestic Common Stock,Healthcare,Medical Devices,3842,Manufacturing,Orthopedic Prosthetic & Surgical Appliances & Supplies,,Medical Equipment,USD,Indiana; U.S.A,a051a0186732c41450fb6c2acdc3cfc1
NORDSTROM INC,JWN,72333,655664100,NYSE,False,Domestic Common Stock,Consumer Cyclical,Department Stores,5651,Retail Trade,Retail-Family Clothing Stores,,Retail,USD,Washington; U.S.A,0a6bfbb9c260b7a3fcdd3de560ca9859
ROCKWELL AUTOMATION INC,ROK,1024478,773903109 774347108,NYSE,False,Domestic Common Stock,Industrials,Specialty Industrial Machinery,3829,Manufacturing,Measuring & Controlling Devices Nec,,Measuring and Control Equipment,USD,Wisconsin; U.S.A,27a4a08974e6a81588865c9a2785c1b3
FMC CORP,FMC,37785,302491303,NYSE,False,Domestic Common Stock,Basic Materials,Agricultural Inputs,2800,Manufacturing,Chemicals & Allied Products,,Chemicals,USD,Pennsylvania; U.S.A,52acf0fd3b81667236dc906928f042ac
TEMPLE INLAND INC,TIN,731939,879868107,NYSE,True,Domestic Common Stock,Basic Materials,Paper & Paper Products,2631,Manufacturing,Paperboard Mills,,Business Supplies,USD,Texas; U.S.A,0c0bbf5dd0944e457d82efe9ca9ca651
VARIAN MEDICAL SYSTEMS INC,VAR,203527,92220P105 922204102,NYSE,True,Domestic Common Stock,Healthcare,Medical Instruments & Supplies,3845,Manufacturing,Electromedical & Electrotherapeutic Apparatus,,Medical Equipment,USD,California; U.S.A,2eda8913b600298d54aa544b73700351
PROSPECT CAPITAL CORP,PBY,1287032,74348T409,NYSE,True,ETD,,,6799,Finance Insurance And Real Estate,Investors Nec,,Trading,USD,New York; U.S.A,4df6c30bd26bf97f006b9874fdd5f422
INCYTE CORP,INCY,879169,45337C102,NASDAQ,False,Domestic Common Stock,Healthcare,Biotechnology,8731,Services,Services-Commercial Physical & Biological Research,,Business Services,USD,Delaware; U.S.A,f63d15904b5baba3ecea4744e5a2263e
MID AMERICA APARTMENT COMMUNITIES INC,MAA,912595,59522J103,NYSE,False,Domestic Common Stock Primary Class,Real Estate,REIT - Residential,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,,Trading,USD,Tennessee; U.S.A,5b2220e426cdf81802a9d794a8e80f63
SOUTHTRUST CORP,SOTR,92081,844730101,NASDAQ,True,Domestic Common Stock,Financial Services,Banks - Regional,6021,Finance Insurance And Real Estate,National Commercial Banks,,Banking,USD,Alabama; U.S.A,8ab53ec1b6bca0b9f4f98e8e60772b61
GRAN TIERRA ENERGY INC,GTE,1273441,38500T101,NYSEMKT,False,Domestic Common Stock,Energy,Oil & Gas E&P,1311,Mining,Crude Petroleum & Natural Gas,,Petroleum and Natural Gas,USD,Alberta; Canada,ea208201b0340fa28a84b56ea5245d76
TEXTRON INC,TXT,217346,883203101,NYSE,False,Domestic Common Stock,Industrials,Aerospace & Defense,3720,Manufacturing,Aircraft & Parts,,Aircraft,USD,Rhode Island; U.S.A,835ff24449ea2befa8cbcf5f1e1d5f2e
HELMERICH & PAYNE INC,HP,46765,423452101,NYSE,False,Domestic Common Stock,Energy,Oil & Gas Drilling,1381,Mining,Drilling Oil & Gas Wells,,Petroleum and Natural Gas,USD,Oklahoma; U.S.A,e0f2c781bc9b732e44d27e8315f7c520
LUMEN TECHNOLOGIES INC,LUMN,18926,156700106 550241103,NYSE,False,Domestic Common Stock,Communication Services,Telecom Services,4813,Transportation Communications Electric Gas And Sanitary Service,Telephone Communications (No Radiotelephone),,Communication,USD,Louisiana; U.S.A,8a3c3eb2dc259ed164ba956da8ef8439
SERVICE CORP INTERNATIONAL,SCI,89089,817565104 783888209,NYSE,False,Domestic Common Stock,Consumer Cyclical,Personal Services,7200,Services,Services-Personal Services,,Personal Services,USD,Texas; U.S.A,17cdabc3b369de51c3f940c6aba89c9c
KRAFT HEINZ CO,KHC,1637459,500754106,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Packaged Foods,2030,Manufacturing,Canned Frozen & Preservd Fruit Veg & Food Specialties,,Food Products,USD,Pennsylvania; U.S.A,5703869fc4b6b94f4130074b8c6eb495
BLACK & DECKER CORP,BDK,12355,091797100,NASDAQ,True,Domestic Common Stock,Industrials,Tools & Accessories,3540,Manufacturing,Metalworkg Machinery & Equipment,,Machinery,USD,Maryland; U.S.A,4763fb2d103abcd083368e8f0255910d
REALTY INCOME CORP,O,726728,756109104,NYSE,False,Domestic Common Stock Primary Class,Real Estate,REIT - Retail,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,,Trading,USD,California; U.S.A,d312a777b7a3b4f549892751a478757d
ODP CORP,ODP,800240,676220106 88337F105,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Specialty Retail,5940,Retail Trade,Retail-Miscellaneous Shopping Goods Stores,,Retail,USD,Florida; U.S.A,fc8ff427737d8a4231a02245f215eb74
CF INDUSTRIES HOLDINGS INC,CF,1324404,125269100,NYSE,False,Domestic Common Stock,Basic Materials,Agricultural Inputs,2870,Manufacturing,Agricultural Chemicals,,Chemicals,USD,Illinois; U.S.A,d54d056223efa5906d58ffa79c70e5e9
CITIZENS FINANCIAL GROUP INC,CFG,759944,174610105,NYSE,False,Domestic Common Stock Primary Class,Financial Services,Banks - Regional,6022,Finance Insurance And Real Estate,State Commercial Banks,,Banking,USD,Rhode Island; U.S.A,52c7ff595c69f5d30ad91ac069ab31a7
ORGANON & CO,OGN,1821825,68622V106,NYSE,False,Domestic Common Stock,Healthcare,Drug Manufacturers - General,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,New Jersey; U.S.A,b0f7cc8bb36db81dbaa3c616d8a81c23
VICI PROPERTIES INC,VICI,1705696,925652109,NYSE,False,Domestic Common Stock,Real Estate,REIT - Diversified,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,,Trading,USD,New York; U.S.A,89efcd52dd54fe075617135039d568de
REGIONS FINANCIAL CORP,RF,1281761,7591EP100 758940100,NYSE,False,Domestic Common Stock Primary Class,Financial Services,Banks - Regional,6021,Finance Insurance And Real Estate,National Commercial Banks,,Banking,USD,Alabama; U.S.A,4a64fb0add221f68b4649f1b13ee52ad
TAKE TWO INTERACTIVE SOFTWARE INC,TTWO,946581,874054109,NASDAQ,False,Domestic Common Stock,Technology,Electronic Gaming & Multimedia,7372,Services,Services-Prepackaged Software,,Business Services,USD,New York; U.S.A,9af532211fbf4ff60cdbbdd3ef4fc152
COUNTRYWIDE FINANCIAL CORP,CFC,25191,222372104,NYSE,True,Domestic Common Stock Primary Class,Financial Services,Banks - Regional,6035,Finance Insurance And Real Estate,Savings Institution Federally Chartered,,Banking,USD,California; U.S.A,504992520667fa3fe43d155f2b29e47d
QUALCOMM INC,QCOM,804328,747525103,NASDAQ,False,Domestic Common Stock,Technology,Semiconductors,3663,Manufacturing,Radio & Tv Broadcasting & Communications Equipment,,Electronic Equipment,USD,California; U.S.A,2c689cdc79c19f6a3a5bde88e685f92e
RUSSELL CORP,RML,85812,782352108,NYSE,True,Domestic Common Stock,Consumer Cyclical,Textile Manufacturing,2253,Manufacturing,Knit Outerwear Mills,,Textiles,USD,Alabama; U.S.A,f8a09f8bf5ffb88f489d7d4d9d9148fd
COASTAL CORP,CGP,21267,190441105 G47962108,NYSE,True,Domestic Common Stock,Energy,Oil & Gas Midstream,4922,Transportation Communications Electric Gas And Sanitary Service,Natural Gas Transmission,,Utilities,USD,Texas; U.S.A,30d29f5b2aedd069e59adfc50acaee1b
BETHLEHEM STEEL CORP,BHMSQ,11860,087509105,NYSE,True,Domestic Common Stock,Basic Materials,Steel,3312,Manufacturing,Steel Works Blast Furnaces & Rolling Mills (Coke Ovens),,Steel Works Etc,USD,Pennsylvania; U.S.A,64de09e25ae11c317e14e80ef91f83a3
CELGENE CORP,CELG,816284,151020104,NASDAQ,True,Domestic Common Stock Primary Class,Healthcare,Drug Manufacturers - General,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,New Jersey; U.S.A,83ec810cd0de5f3002c8d3c17efeacee
AMERICAN WATER WORKS COMPANY INC,AWK,1410636,030420103,NYSE,False,Domestic Common Stock,Utilities,Utilities - Regulated Water,4941,Transportation Communications Electric Gas And Sanitary Service,Water Supply,,Utilities,USD,New Jersey; U.S.A,76761679f69c4faf53f514771b805be9
DISH NETWORK CORP,DISH,1001082,25470M109 278762109,NASDAQ,False,Domestic Common Stock Primary Class,Consumer Cyclical,Entertainment,4841,Transportation Communications Electric Gas And Sanitary Service,Cable & Other Pay Television Services,,Communication,USD,Colorado; U.S.A,8594883cba995394ae6a1665a9f7b982
STARBUCKS CORP,SBUX,829224,855244109,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Restaurants,5810,Retail Trade,Retail-Eating & Drinking Places,,Restaraunts Hotels Motels,USD,Washington; U.S.A,d70c0be108f9f6cc6ce92f1c7464510e
MSCI INC,MSCI,1408198,55354G100,NYSE,False,Domestic Common Stock,Financial Services,Financial Data & Stock Exchanges,7389,Services,Services-Business Services Nec,,Business Services,USD,New York; U.S.A,850018dab31b629092c6f1cc1d4eca78
QUANTA SERVICES INC,PWR,1050915,74762E102,NYSE,False,Domestic Common Stock,Industrials,Engineering & Construction,1731,Construction,Electrical Work,,Construction,USD,Texas; U.S.A,e493146a997fb3d93ca1fac3b7e8622d
TUPPERWARE BRANDS CORP,TUP,1008654,899896104,NYSE,False,Domestic Common Stock,Consumer Cyclical,Packaging & Containers,3089,Manufacturing,Plastics Products Nec,,Rubber and Plastic Products,USD,Florida; U.S.A,f6d40dab88bcfce34d2da68ac2215f61
ANADARKO PETROLEUM CORP,APC,773910,032511107,NYSE,True,Domestic Common Stock Primary Class,Energy,Oil & Gas E&P,1311,Mining,Crude Petroleum & Natural Gas,,Petroleum and Natural Gas,USD,Texas; U.S.A,4073e1c84d01b11f89c6882a6ac038f4
IMMUNEX CORP,IMNX,719529,452528102,NASDAQ,True,Domestic Common Stock,Healthcare,Biotechnology,2836,Manufacturing,Biological Products (No Disgnostic Substances),,Pharmaceutical Products,USD,Washington; U.S.A,cdc0d05405618eeac8fc1e287ac7a9a5
HOSPIRA INC,HSP,1274057,441060100,NYSE,True,Domestic Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,Illinois; U.S.A,d8db60bdb6cc201c17d6d12f5567cf35
BOEING CO,BA,12927,097023105,NYSE,False,Domestic Common Stock,Industrials,Aerospace & Defense,3721,Manufacturing,Aircraft,,Aircraft,USD,Washington; U.S.A,bb87b0c1b052c51326e5e0be3c9d1d46
HYATT HOTELS CORP,H,1468174,448579102,NYSE,False,Domestic Common Stock,Consumer Cyclical,Lodging,7011,Services,Hotels & Motels,,Restaraunts Hotels Motels,USD,Illinois; U.S.A,63d0bfd7a09e1d1dbae467d16cb4c65f
TARGA RESOURCES CORP,TRGP,1389170,87612G101,NYSE,False,Domestic Common Stock,Energy,Oil & Gas Midstream,4922,Transportation Communications Electric Gas And Sanitary Service,Natural Gas Transmission,,Utilities,USD,Texas; U.S.A,12751c37aa23776a1c0b42f41a014f60
BORGWARNER INC,BWA,908255,099724106,NYSE,False,Domestic Common Stock,Consumer Cyclical,Auto Parts,3714,Manufacturing,Motor Vehicle Parts & Accessories,,Automobiles and Trucks,USD,Michigan; U.S.A,1fd8036566796d28256cd3ef752c0922
TWITTER INC,TWTR,1418091,90184L102,NYSE,False,Domestic Common Stock,Technology,Internet Content & Information,7370,Services,Services-Computer Programming Data Processing Etc.,,Business Services,USD,California; U.S.A,a1951581063961e7545bee4326f3a484
PUBLIC STORAGE,PSA,1393311,74460D109,NYSE,False,Domestic Common Stock Primary Class,Real Estate,REIT - Industrial,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,,Trading,USD,California; U.S.A,438fa20da863d861c05e5fdaeef48268
CBRE GROUP INC,CBRE,1138118,12504L109 12497T101,NYSE,False,Domestic Common Stock,Real Estate,Real Estate Services,6500,Finance Insurance And Real Estate,Real Estate,,Real Estate,USD,California; U.S.A,f84eab7e7e1ebfcc5d0264edacd32360
KIMBERLY CLARK CORP,KMB,55785,494368103 494368129,NYSE,False,Domestic Common Stock Primary Class,Consumer Defensive,Household & Personal Products,2670,Manufacturing,Converted Paper & Paperboard Prods (No Contaners/Boxes),,Business Supplies,USD,Texas; U.S.A,c98b5fbbddfd3f24141ed2e1f16e1c1c
JUNIPER NETWORKS INC,JNPR,1043604,48203R104 481905503,NYSE,False,Domestic Common Stock,Technology,Communication Equipment,3576,Manufacturing,Computer Communications Equipment,,Computers,USD,California; U.S.A,53ad4c760a9a534ef96a0f0ee1102e2d
M&T BANK CORP,MTB,36270,55261F104 320076102,NYSE,False,Domestic Common Stock Primary Class,Financial Services,Banks - Regional,6022,Finance Insurance And Real Estate,State Commercial Banks,,Banking,USD,New York; U.S.A,9bacce2f4223c29fc17bf6fc776cdbfc
EQUILLIUM INC,EQ,1746466,29446K106,NASDAQ,False,Domestic Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,California; U.S.A,b8cfe87cbdc17f14ce29b98a090af514
POTLATCHDELTIC CORP,PCH,1338749,737630103 737628107,NASDAQ,False,Domestic Common Stock,Real Estate,REIT - Specialty,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,,Trading,USD,Washington; U.S.A,f5e6881e9154f4415e4b66d5024417a0
